track_id,genre,filepath,track_title,artist_name,album_title,duration_seconds,date_created,best_d,best_p,best_q,best_aic
67360,Pop,data/fma_small/067/067360.mp3,Fresh Flesh,Inquiet,"A Fifty Gallon Drum of Savage Customs, Fresh Flesh and Random Pop",194,2012-07-05 04:59:36,0,4,3,-6715.15675608213
127296,Pop,data/fma_small/127/127296.mp3,First Glance,"Oh Yeah, the Future",New brave face,201,2015-11-04 11:44:50,0,3,4,-7305.180221166607
48453,Pop,data/fma_small/048/048453.mp3,deux dents dehors,AlexandredavidgabrielMehdi,la nuit t as pas peur,414,2011-06-04 18:53:56,0,4,5,-11580.56585624843
86118,Pop,data/fma_small/086/086118.mp3,ANWSATW (TSP Took Acid Once Mix),Garmisch,And Now We Stand Against The Wall,498,2013-06-24 14:59:57,0,2,3,-5344.14313254912
85427,Pop,data/fma_small/085/085427.mp3,Theme From Sun Moon,Orange Peels,"Live on WFMU's Three Chord Monte with Joe Belock - June 4, 2013",222,2013-06-06 14:20:44,0,4,4,-7510.111894631998
7528,Pop,data/fma_small/007/007528.mp3,Game,Monk Turner,Love Story,257,2009-03-11 15:19:50,0,5,4,-6715.888097395302
85599,Pop,data/fma_small/085/085599.mp3,Native Son,Garmisch,Fishes,376,2013-06-11 08:42:39,0,1,3,-7326.593291644271
49477,Pop,data/fma_small/049/049477.mp3,U Fine (Remix) (Featuring CM aka Creative),Garmisch,netBloc Vol. 33: You can get with this...,222,2011-06-23 09:57:26,0,5,5,-6190.627509901785
79741,Pop,data/fma_small/079/079741.mp3,LAB CLINICIAN's DAY TRIP,YELLOW CHAIR,Bethesda / Cents (2013),200,2013-03-03 22:18:09,0,3,4,-8047.461253717301
17344,Pop,data/fma_small/017/017344.mp3,Falafel Western,No Nature,Echoes Still Singing Limbs,469,2009-07-24 16:59:13,0,4,4,-10917.622871092966
113028,Pop,data/fma_small/113/113028.mp3,Convicted Jazz Drones,Malaventura,#malaventura04,276,2015-01-05 11:17:27,0,4,3,-8907.424755456901
148612,Pop,data/fma_small/148/148612.mp3,Superferries,Red Crickets,II,298,2016-12-31 07:16:35,0,2,4,-6693.327218641563
122499,Pop,data/fma_small/122/122499.mp3,"""Wheel of time""",N-qia,La bèl pop (fifth anniversary compilation),234,2015-07-13 09:40:26,0,2,3,-9070.55431055781
127181,Pop,data/fma_small/127/127181.mp3,Sharks,Wintermitts,Oceans,210,2015-11-03 07:37:54,0,5,5,-6723.534511819125
39667,Pop,data/fma_small/039/039667.mp3,Your Troubles + Feelin Down,Quiet Hooves,"Live at WFMU on Nat Roe's Show, Nov 17th 2010",376,2010-11-24 14:35:29,1,4,4,-10416.751679632025
113025,Pop,data/fma_small/113/113025.mp3,Breeze Funk,Malaventura,#malaventura04,222,2015-01-05 11:17:24,0,4,3,-8614.017761930803
57178,Pop,data/fma_small/057/057178.mp3,"NO (Midi #2: Camille/""Modern Music Mix"")",Skeletons,NO (Midi Version) + midi file & vocal track,222,2011-12-06 12:28:20,0,2,3,-6069.633827057502
135338,Pop,data/fma_small/135/135338.mp3,The Coldest Winter,Caleb Lemond,The Learning Curve,134,2016-04-13 17:54:35,0,3,3,-7534.886312091503
11199,Pop,data/fma_small/011/011199.mp3,Love Is An Eternal Lie,The Sleeping Tree,netBloc Vol. 20: music to accompany the world traveller,191,2009-04-21 12:20:34,0,4,4,-11592.371066356534
11200,Pop,data/fma_small/011/011200.mp3,Berlin Lights (Finistere),March Rosetta,netBloc Vol. 20: music to accompany the world traveller,315,2009-04-21 12:24:25,0,3,3,-10583.238685005535
7529,Pop,data/fma_small/007/007529.mp3,Seeking,Monk Turner,Love Story,130,2009-03-11 15:19:51,0,3,3,-8657.325371812738
70873,Pop,data/fma_small/070/070873.mp3,goose woman,owlface,and still the ground is frozen,258,2012-10-11 04:36:41,0,5,5,-13636.148074509445
85953,Pop,data/fma_small/085/085953.mp3,All I Am,Pete Galub,"Live on WFMU's Three Chord Monte with Joe Belock - May 7, 2013",262,2013-06-20 13:38:15,1,2,4,-6759.339093152307
113020,Pop,data/fma_small/113/113020.mp3,Polinesia,Malaventura,#malaventura04,187,2015-01-05 11:17:19,0,3,4,-5908.0891142053215
148285,Pop,data/fma_small/148/148285.mp3,Soul Gem,LoveyDove,"Live at WFMU on 100% Whatever with Mary Wing, 11/20/2016",225,2016-12-23 18:37:42,0,3,4,-9256.104773417788
127303,Pop,data/fma_small/127/127303.mp3,Snowday,"Oh Yeah, the Future",New brave face,251,2015-11-04 11:44:59,0,4,3,-8627.338761008923
21231,Pop,data/fma_small/021/021231.mp3,"Not Like That-Collaboration Mix (ft. Mindmovie, Peter (Paddy) Bussmeier)",TheJoe,ccMixter,251,2009-11-22 18:48:56,0,4,3,-7470.491847051046
54665,Pop,data/fma_small/054/054665.mp3,Floatin' Around,Monday Night Fever,Bad Panda #103,187,2011-10-11 11:39:23,1,3,4,-8530.432807485264
121593,Pop,data/fma_small/121/121593.mp3,Don't Go Falling In Love,Kurt Baker,"Live on WFMU's Three Chord Monte with Joe Belock: June 15, 2015",192,2015-06-18 15:43:28,0,4,5,-6892.217105662456
92129,Pop,data/fma_small/092/092129.mp3,Go For It,The Craters,Velcro,244,2013-10-15 00:00:24,0,5,5,-9249.897914249887
16163,Pop,data/fma_small/016/016163.mp3,11:11,Christopher Joel,netBloc Vol. 23: We Invented The Compilation,276,2009-07-08 04:08:05,0,1,3,-9073.884136903078
127915,Pop,data/fma_small/127/127915.mp3,Purple Sunshine,Gingerlys,"Live on WFMU's Hello Children with Faye: Nov 15, 2015",108,2015-11-19 17:08:23,0,3,5,-6998.312517864001
120208,Pop,data/fma_small/120/120208.mp3,Comfort Stand Records Remix Project : Song #2,FortyOne,Swingin' Singles,240,2015-05-21 14:15:41,0,5,5,-6850.0313866586785
127302,Pop,data/fma_small/127/127302.mp3,Roundtrip,"Oh Yeah, the Future",New brave face,511,2015-11-04 11:44:57,1,5,5,-7232.079906132845
127188,Pop,data/fma_small/127/127188.mp3,Basquiat,Wintermitts,Oceans,414,2015-11-03 07:38:02,0,4,3,-8118.357214038449
121591,Pop,data/fma_small/121/121591.mp3,Everybody Knows,Kurt Baker,"Live on WFMU's Three Chord Monte with Joe Belock: June 15, 2015",129,2015-06-18 15:43:26,0,1,3,-7560.691993678494
132793,Pop,data/fma_small/132/132793.mp3,Mount Rainier,Gardenella,self titled cassette,282,2016-02-22 15:03:03,0,1,3,-7930.833946321927
108457,Pop,data/fma_small/108/108457.mp3,Dear Pressure,Miracles of Modern Science,MEEMS,201,2014-08-23 10:20:14,0,4,5,-5869.670336519086
84817,Pop,data/fma_small/084/084817.mp3,Wide Of The Mark,Robin Mitchell,netBloc Vol. 43: ANTIPETROMUSICABIOTIC,239,2013-05-24 06:26:24,1,3,4,-8213.636399977066
10806,Pop,data/fma_small/010/010806.mp3,Glowing Pavements,Lesbian Afternoon,Super Nude EP,143,2009-04-15 14:05:17,0,3,3,-5343.889518828629
59451,Pop,data/fma_small/059/059451.mp3,Sister,Phemale,A Grounded Mound/ Widespread Telepathy,300,2012-01-24 10:08:39,0,4,4,-8522.891118792772
11937,Pop,data/fma_small/011/011937.mp3,Wir können auch anders,DavidBowman,netBloc Vol. 21: opening your ears with jamendo,182,2009-05-01 06:58:28,1,2,5,-10079.510973043929
144940,Pop,data/fma_small/144/144940.mp3,(next time you coalesce) Come Over,Maxwell Powers,"Fridays, Volume 1",259,2016-10-11 12:27:22,0,2,4,-6474.054995867844
85422,Pop,data/fma_small/085/085422.mp3,Bicentennial Bridge,Orange Peels,"Live on WFMU's Three Chord Monte with Joe Belock - June 4, 2013",209,2013-06-06 14:20:40,0,3,5,-6918.7307954776425
104780,Pop,data/fma_small/104/104780.mp3,Your Body Is A Temple,Unthunk,Your Body Is A Temple,265,2014-05-04 20:02:05,0,5,4,-8211.124830860937
67363,Pop,data/fma_small/067/067363.mp3,Before The March,Directorsound,"A Fifty Gallon Drum of Savage Customs, Fresh Flesh and Random Pop",169,2012-07-05 04:59:39,0,1,3,-7395.697787482647
127183,Pop,data/fma_small/127/127183.mp3,Birds,Wintermitts,Oceans,248,2015-11-03 07:37:56,0,5,5,-7551.9779422741985
56249,Pop,data/fma_small/056/056249.mp3,Woman Alone,Jiony,Bad Panda #104,336,2011-11-11 09:49:35,0,4,3,-9081.787050001349
127278,Pop,data/fma_small/127/127278.mp3,Distant Lover,Myndra,Songs From Your Collarbone,174,2015-11-04 10:06:01,1,5,4,-6813.815216410639
