track_id,genre,filepath,track_title,artist_name,album_title,duration_seconds,date_created,best_d,best_p,best_q,best_aic,sigma2,best_ar1_coeff,relative_sigma2
67360,Pop,data/fma_small/067/067360.mp3,Fresh Flesh,Inquiet,"A Fifty Gallon Drum of Savage Customs, Fresh Flesh and Random Pop",194,2012-07-05 04:59:36,0,4,3,-6715.15675608213,0.0003111347732661,0.8807614564360189,0.06229685
127296,Pop,data/fma_small/127/127296.mp3,First Glance,"Oh Yeah, the Future",New brave face,201,2015-11-04 11:44:50,0,3,4,-7305.180221166607,0.0001978975863676,1.4538203708504578,0.049872484
48453,Pop,data/fma_small/048/048453.mp3,deux dents dehors,AlexandredavidgabrielMehdi,la nuit t as pas peur,414,2011-06-04 18:53:56,0,4,5,-11580.56585624843,7.072348410130625e-06,1.847149931438312,0.03627865
86118,Pop,data/fma_small/086/086118.mp3,ANWSATW (TSP Took Acid Once Mix),Garmisch,And Now We Stand Against The Wall,498,2013-06-24 14:59:57,0,2,3,-5344.14313254912,0.0009131557933184,0.5322362180983953,0.17285877
85427,Pop,data/fma_small/085/085427.mp3,Theme From Sun Moon,Orange Peels,"Live on WFMU's Three Chord Monte with Joe Belock - June 4, 2013",222,2013-06-06 14:20:44,0,4,4,-7510.111894631998,0.0001688068980582,1.3154003646436474,0.098462634
7528,Pop,data/fma_small/007/007528.mp3,Game,Monk Turner,Love Story,257,2009-03-11 15:19:50,0,5,4,-6715.888097395302,0.0003125645504342,0.8095449142170034,0.06518625
85599,Pop,data/fma_small/085/085599.mp3,Native Son,Garmisch,Fishes,376,2013-06-11 08:42:39,0,1,3,-7326.593291644271,0.0001966876081019,0.7200753242873694,0.06415472
49477,Pop,data/fma_small/049/049477.mp3,U Fine (Remix) (Featuring CM aka Creative),Garmisch,netBloc Vol. 33: You can get with this...,222,2011-06-23 09:57:26,0,5,5,-6190.627509901785,0.0004666222669267,1.96669029566314,0.07033013
79741,Pop,data/fma_small/079/079741.mp3,LAB CLINICIAN's DAY TRIP,YELLOW CHAIR,Bethesda / Cents (2013),200,2013-03-03 22:18:09,0,3,4,-8047.461253717301,9.97771127386672e-05,1.7488206955521295,0.039878026
17344,Pop,data/fma_small/017/017344.mp3,Falafel Western,No Nature,Echoes Still Singing Limbs,469,2009-07-24 16:59:13,0,4,4,-10917.622871092966,1.1963866999379308e-05,1.5811305492296817,0.0072381
113028,Pop,data/fma_small/113/113028.mp3,Convicted Jazz Drones,Malaventura,#malaventura04,276,2015-01-05 11:17:27,0,4,3,-8907.424755456901,5.657801054283915e-05,0.713760299286544,0.069356054
148612,Pop,data/fma_small/148/148612.mp3,Superferries,Red Crickets,II,298,2016-12-31 07:16:35,0,2,4,-6693.327218641563,0.0003191714008374,1.6257885909983685,0.06824828
122499,Pop,data/fma_small/122/122499.mp3,"""Wheel of time""",N-qia,La bèl pop (fifth anniversary compilation),234,2015-07-13 09:40:26,0,2,3,-9070.55431055781,5.074961903228212e-05,0.9386194907052532,0.04918169
127181,Pop,data/fma_small/127/127181.mp3,Sharks,Wintermitts,Oceans,210,2015-11-03 07:37:54,0,5,5,-6723.534511819125,0.0002287837844091,1.131105028969832,0.06910505
39667,Pop,data/fma_small/039/039667.mp3,Your Troubles + Feelin Down,Quiet Hooves,"Live at WFMU on Nat Roe's Show, Nov 17th 2010",376,2010-11-24 14:35:29,1,4,4,-10416.751679632023,1.4621157850162018e-05,0.8385591120110861,0.013881324
113025,Pop,data/fma_small/113/113025.mp3,Breeze Funk,Malaventura,#malaventura04,222,2015-01-05 11:17:24,0,4,3,-8614.017761930803,7.189365596772102e-05,1.052120551082376,0.062377278
57178,Pop,data/fma_small/057/057178.mp3,"NO (Midi #2: Camille/""Modern Music Mix"")",Skeletons,NO (Midi Version) + midi file & vocal track,222,2011-12-06 12:28:20,0,2,3,-6069.633827057502,0.0005212494294959,0.7867674625682974,0.099461325
135338,Pop,data/fma_small/135/135338.mp3,The Coldest Winter,Caleb Lemond,The Learning Curve,134,2016-04-13 17:54:35,0,3,3,-7534.886312091503,0.0001667618017636,0.528328317353222,0.08810506
11199,Pop,data/fma_small/011/011199.mp3,Love Is An Eternal Lie,The Sleeping Tree,netBloc Vol. 20: music to accompany the world traveller,191,2009-04-21 12:20:34,0,4,4,-11592.371066356534,7.0035515503021984e-06,1.5373014733978907,0.025231542
11200,Pop,data/fma_small/011/011200.mp3,Berlin Lights (Finistere),March Rosetta,netBloc Vol. 20: music to accompany the world traveller,315,2009-04-21 12:24:25,0,3,3,-10583.238685005535,1.5828178740631577e-05,0.730994709920806,0.098611996
7529,Pop,data/fma_small/007/007529.mp3,Seeking,Monk Turner,Love Story,130,2009-03-11 15:19:51,0,3,3,-8657.325371812738,6.877375916939271e-05,0.6183915118015728,0.07351354
70873,Pop,data/fma_small/070/070873.mp3,goose woman,owlface,and still the ground is frozen,258,2012-10-11 04:36:41,0,5,5,-13636.148074509443,1.2851964956356056e-06,1.4038560557042077,0.000558651
85953,Pop,data/fma_small/085/085953.mp3,All I Am,Pete Galub,"Live on WFMU's Three Chord Monte with Joe Belock - May 7, 2013",262,2013-06-20 13:38:15,1,2,4,-6759.339093152307,0.0003028789668496,0.6623747085065705,0.04509524
113020,Pop,data/fma_small/113/113020.mp3,Polinesia,Malaventura,#malaventura04,187,2015-01-05 11:17:19,0,3,4,-5908.0891142053215,0.0005872985901107,1.71317994951786,0.07130069
148285,Pop,data/fma_small/148/148285.mp3,Soul Gem,LoveyDove,"Live at WFMU on 100% Whatever with Mary Wing, 11/20/2016",225,2016-12-23 18:37:42,0,3,4,-9256.104773417788,4.306165480271507e-05,1.9935306738770595,0.020189563
127303,Pop,data/fma_small/127/127303.mp3,Snowday,"Oh Yeah, the Future",New brave face,251,2015-11-04 11:44:59,0,4,3,-8627.338761008923,7.126992840654195e-05,0.6482380040743093,0.037467226
21231,Pop,data/fma_small/021/021231.mp3,"Not Like That-Collaboration Mix (ft. Mindmovie, Peter (Paddy) Bussmeier)",TheJoe,ccMixter,251,2009-11-22 18:48:56,0,4,3,-7470.491847051046,0.0001744931667561,0.7742908794742246,0.046885297
54665,Pop,data/fma_small/054/054665.mp3,Floatin' Around,Monday Night Fever,Bad Panda #103,187,2011-10-11 11:39:23,1,3,4,-8530.432807485264,7.642518922931225e-05,0.4971766546214719,0.0103740115
121593,Pop,data/fma_small/121/121593.mp3,Don't Go Falling In Love,Kurt Baker,"Live on WFMU's Three Chord Monte with Joe Belock: June 15, 2015",192,2015-06-18 15:43:28,0,4,5,-6892.217105662456,0.0002703075633794,2.119627854315505,0.07498336
92129,Pop,data/fma_small/092/092129.mp3,Go For It,The Craters,Velcro,244,2013-10-15 00:00:24,0,5,5,-9249.897914249888,4.266871236402779e-05,1.7362404969540906,0.086946346
16163,Pop,data/fma_small/016/016163.mp3,11:11,Christopher Joel,netBloc Vol. 23: We Invented The Compilation,276,2009-07-08 04:08:05,0,1,3,-9073.884136903078,5.013629749354196e-05,0.7439194887116867,0.05784821
127915,Pop,data/fma_small/127/127915.mp3,Purple Sunshine,Gingerlys,"Live on WFMU's Hello Children with Faye: Nov 15, 2015",108,2015-11-19 17:08:23,0,3,5,-6998.312517864001,0.0002495706956298,1.6317456123129617,0.12583208
120208,Pop,data/fma_small/120/120208.mp3,Comfort Stand Records Remix Project : Song #2,FortyOne,Swingin' Singles,240,2015-05-21 14:15:41,0,5,5,-6850.0313866586785,0.0002759099151149,0.4312100567526153,0.07557971
127302,Pop,data/fma_small/127/127302.mp3,Roundtrip,"Oh Yeah, the Future",New brave face,511,2015-11-04 11:44:57,1,5,5,-7232.079906132845,0.000205414193358,0.9607158723073198,0.0321236
127188,Pop,data/fma_small/127/127188.mp3,Basquiat,Wintermitts,Oceans,414,2015-11-03 07:38:02,0,4,3,-8118.357214038449,0.0001058446396443,0.5221561362389964,0.039113514
